"date","PM25"
"2016-02-17",99108
"2016-02-18",108224
"2016-02-19",112805
"2016-02-20",985228
"2016-02-21",912038
"2016-02-22",692427
"2016-02-23",689417
"2016-02-26",144034
"2016-02-27",932709
"2016-02-28",704485
"2016-02-29",549858
"2016-03-01",533705
"2016-03-02",575335
"2016-03-03",476005
"2016-03-04",548847
"2016-03-05",529491
"2016-03-06",569141
"2016-03-07",723008
"2016-03-08",139081
"2016-03-09",619413
"2016-03-10",120334
"2016-03-11",561863
"2016-03-12",103835
"2016-03-13",466624
"2016-03-14",600347
"2016-03-15",312534
"2016-03-16",805209
"2016-03-17",138052
"2016-03-18",106835
"2016-03-19",334913
"2016-03-20",546795
"2016-03-21",787617
"2016-03-22",173259
"2016-03-23",959572
"2016-03-24",607392
"2016-03-25",705674
"2016-03-26",279824
"2016-03-27",120993
"2016-03-28",121751
"2016-03-29",122992
"2016-03-30",299806
"2016-03-31",163485
"2016-04-01",303559
"2016-04-02",629837
"2016-04-03",140965
"2016-04-04",312388
"2016-04-05",361369
"2016-04-06",946634
"2016-04-08",440385
"2016-04-09",679084
"2016-04-10",907172
"2016-04-11",20771
"2016-04-12",486411
"2016-04-13",113426
"2016-04-14",699799
"2016-04-15",149124
"2016-04-16",16319
"2016-04-17",255514
"2016-04-18",481271
"2016-04-19",839719
"2016-04-20",251797
"2016-04-21",252145
"2016-04-22",263219
"2016-04-23",243185
"2016-04-24",222467
"2016-04-25",269133
"2016-04-26",30107
"2016-04-27",598465
"2016-04-28",12512
"2016-04-29",106538
"2016-04-30",807263
"2016-05-01",615909
"2016-05-02",393765
"2016-05-03",211322
"2016-05-04",368885
"2016-05-05",112229
"2016-05-06",348494
"2016-05-07",552783
"2016-05-08",385215
"2016-05-09",403654
"2016-05-11",583693
"2016-05-12",485521
"2016-05-13",515096
"2016-05-14",460045
"2016-05-15",669896
"2016-05-16",553044
"2016-05-17",906571
"2016-05-18",966439
"2016-05-19",518024
"2016-05-20",75311
"2016-05-21",121721
"2016-05-22",828203
"2016-05-23",807998
"2016-05-24",434048
"2016-05-25",282672
"2016-05-26",151626
"2016-05-27",100085
"2016-05-28",309641
"2016-05-29",340232
"2016-05-30",407089
"2016-05-31",381785
"2016-06-01",101787
"2016-06-02",449918
"2016-06-03",360577
"2016-06-04",782897
"2016-06-05",319056
"2016-06-06",424983
"2016-06-07",261142
"2016-06-08",344869
"2016-06-09",911913
"2016-06-10",326538
"2016-06-11",169944
"2016-06-12",414612
"2016-06-13",128965
"2016-06-14",107128
"2016-06-15",249417
"2016-06-16",422153
"2016-06-17",219558
"2016-06-18",829817
"2016-06-19",157386
"2016-06-20",354457
"2016-06-21",903197
"2016-06-22",284069
"2016-06-23",294114
"2016-06-24",1312
"2016-06-25",634218
"2016-06-26",348294
"2016-06-27",299617
"2016-06-28",25133
"2016-06-29",526003
"2016-06-30",171092
"2016-07-01",707795
"2016-07-02",884501
