FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;11,0576;;;
160102;0000;4,72038;;;
160103;0000;4,39429;;;
160104;0000;4,98954;;;
160105;0000;8,73117;;;
160106;0000;14,1331;;;
160107;0000;12,0484;;;
160108;0000;7,48437;;;
160109;0000;5,71308;;;
160110;0000;8,03821;;;
160111;0000;5,7842;;;
160112;0000;3,75675;;;
160113;0000;6,08179;;;
160114;0000;4,72033;;;
160115;0000;5,48558;;;
160116;0000;5,68412;;;
160117;0000;4,45108;;;
160118;0000;7,00208;;;
160119;0000;13,1977;;;
160120;0000;14,1441;;;
160121;0000;13,9895;;;
160122;0000;8,10129;;;
160123;0000;10,2175;;;
160124;0000;;;;
160125;0000;;;;
160126;0000;4,29874;;;
160127;0000;3,68996;;;
160128;0000;3,51525;;;
160129;0000;4,59454;;;
160130;0000;5,68713;;;
160131;0000;10,5838;;;
160201;0000;13,3908;;;
160202;0000;11,5341;;;
160203;0000;6,28562;;;
160204;0000;6,3575;;;
160205;0000;7,57745;;;
160206;0000;9,57834;;;
160207;0000;9,89024;;;
160208;0000;8,48505;;;
160209;0000;6,72421;;;
160210;0000;13,8208;;;
160211;0000;7,09545;;;
160212;0000;5,74833;;;
160213;0000;4,29662;;;
160214;0000;3,74129;;;
160215;0000;5,74575;;;
160216;0000;8,41487;;;
160217;0000;3,67283;;;
160218;0000;4,51062;;;
160219;0000;6,66087;;;
160220;0000;5,30174;;;
160221;0000;5,37133;;;
160222;0000;5,47133;;;
160223;0000;7,59875;;;
160224;0000;4,32358;;;
160225;0000;5,60033;;;
160226;0000;4,69254;;;
160227;0000;7,03329;;;
160228;0000;4,63575;;;
160229;0000;10,1379;;;
160301;0000;13,9931;;;
160302;0000;17,6948;;;
160303;0000;20,9127;;;
160304;0000;16,1766;;;
160305;0000;17,3688;;;
160306;0000;12,2371;;;
160307;0000;10,804;;;
160308;0000;15,1456;;;
160309;0000;7,01875;;;
160310;0000;12,5324;;;
160311;0000;11,3917;;;
160312;0000;14,4275;;;
160313;0000;12,5993;;;
160314;0000;16,1879;;;
160315;0000;12,2865;;;
160316;0000;16,7696;;;
160317;0000;7,98854;;;
160318;0000;10,273;;;
160319;0000;20,0917;;;
160320;0000;23,9644;;;
160321;0000;24,573;;;
160322;0000;25,7084;;;
160323;0000;27,8241;;;
160324;0000;31,0458;;;
160325;0000;29,6538;;;
160326;0000;15,8043;;;
160327;0000;11,7903;;;
160328;0000;15,0405;;;
160329;0000;13,366;;;
160330;0000;6,29804;;;
160331;0000;4,19888;;;
160401;0000;19,498;;;
160402;0000;37,6317;;;
160403;0000;25,5121;;;
160404;0000;16,0487;;;
160405;0000;30,9337;;;
160406;0000;24,1527;;;
160407;0000;6,75449;;;
160408;0000;19,3673;;;
160409;0000;21,3156;;;
160410;0000;22,2164;;;
160411;0000;34,8607;;;
160412;0000;35,9871;;;
160413;0000;30,3025;;;
160414;0000;11,3515;;;
160415;0000;13,0346;;;
160416;0000;20,2935;;;
160417;0000;21,0138;;;
160418;0000;23,0721;;;
160419;0000;16,7997;;;
160420;0000;31,9688;;;
160421;0000;29,0589;;;
160422;0000;28,5233;;;
160423;0000;12,9852;;;
160424;0000;28,2261;;;
160425;0000;38,8596;;;
160426;0000;106,104;;;
160427;0000;129,019;;;
160428;0000;126,808;;;
160429;0000;142,457;;;
160430;0000;128,522;;;
160501;0000;64,5767;;;
160502;0000;41,6901;;;
160503;0000;34,2408;;;
160504;0000;80,1746;;;
160505;0000;63,1075;;;
160506;0000;83,5703;;;
160507;0000;91,1576;;;
160508;0000;51,3288;;;
160509;0000;72,2279;;;
160510;0000;109,749;;;
160511;0000;58,3553;;;
160512;0000;64,267;;;
160513;0000;50,9129;;;
160514;0000;49,1212;;;
160515;0000;33,9717;;;
160516;0000;58,915;;;
160517;0000;121,801;;;
160518;0000;59,6464;;;
160519;0000;45,1802;;;
160520;0000;50,2842;;;
160521;0000;;;;
160522;0000;;;;
160523;0000;112,54;;;
160524;0000;69,6417;;;
160525;0000;65,2716;;;
160526;0000;113,736;;;
160527;0000;113,505;;;
160528;0000;70,8446;;;
160529;0000;65,7616;;;
160530;0000;79,6971;;;
160531;0000;76,028;;;
160601;0000;126,782;;;
160602;0000;144,771;;;
160603;0000;41,9521;;;
160604;0000;37,1838;;;
160605;0000;81,0597;;;
160606;0000;157,817;;;
160607;0000;59,769;;;
160608;0000;40,3784;;;
160609;0000;81,0637;;;
160610;0000;220,346;;;
160611;0000;158,406;;;
160612;0000;162,128;;;
160613;0000;195,936;;;
160614;0000;164,311;;;
160615;0000;130,94;;;
160616;0000;50,0723;;;
160617;0000;64,9421;;;
160618;0000;101,331;;;
160619;0000;55,0058;;;
160620;0000;50,4738;;;
160621;0000;69,4658;;;
160622;0000;59,4054;;;
160623;0000;54,5679;;;
160624;0000;30,5055;;;
160625;0000;108,318;;;
160626;0000;276,56;;;
160627;0000;242,66;;;
160628;0000;160,579;;;
160629;0000;65,0221;;;
160630;0000;51,1973;;;
160701;0000;51,9433;;;
160702;0000;56,2897;;;
160703;0000;118,696;;;
160704;0000;149,699;;;
160705;0000;55,7025;;;
160706;0000;68,8658;;;
160707;0000;161,945;;;
160708;0000;69,5712;;;
160709;0000;48,1787;;;
160710;0000;32,3766;;;
160711;0000;32,713;;;
160712;0000;77,1357;;;
160713;0000;13,6503;;;
160714;0000;108,084;;;
160715;0000;189,543;;;
160716;0000;152,304;;;
160717;0000;58,6021;;;
160718;0000;102,626;;;
160719;0000;47,6262;;;
160720;0000;53,9454;;;
160721;0000;37,05;;;
160722;0000;31,9163;;;
160723;0000;23,0918;;;
160724;0000;21,3327;;;
160725;0000;79,349;;;
160726;0000;53,0251;;;
160727;0000;133,209;;;
160728;0000;54,1078;;;
160729;0000;38,5611;;;
160730;0000;78,8391;;;
160731;0000;62,2231;;;
160801;0000;72,9922;;;
160802;0000;103,099;;;
160803;0000;64,2804;;;
160804;0000;96,6816;;;
160805;0000;106,061;;;
160806;0000;91,2883;;;
160807;0000;39,2048;;;
160808;0000;32,626;;;
160809;0000;32,8967;;;
160810;0000;54,0258;;;
160811;0000;70,358;;;
160812;0000;92,0846;;;
160813;0000;65,5763;;;
160814;0000;21,3044;;;
160815;0000;19,8558;;;
160816;0000;26,3952;;;
160817;0000;21,1938;;;
160818;0000;33,3268;;;
160819;0000;35,4601;;;
160820;0000;22,8307;;;
160821;0000;12,6847;;;
160822;0000;17,8154;;;
160823;0000;37,4212;;;
160824;0000;25,3054;;;
160825;0000;27,6158;;;
160826;0000;24,5748;;;
160827;0000;50,3483;;;
160828;0000;86,6672;;;
160829;0000;31,44;;;
160830;0000;47,8862;;;
160831;0000;12,869;;;
160901;0000;21,9085;;;
160902;0000;36,0803;;;
160903;0000;22,1599;;;
160904;0000;68,2682;;;
160905;0000;;;;
160906;0000;;;;
160907;0000;94,0708;;;
160908;0000;40,9562;;;
160909;0000;27,7874;;;
160910;0000;16,4504;;;
160911;0000;13,7575;;;
160912;0000;12,284;;;
160913;0000;9,17778;;;
160914;0000;19,6905;;;
160915;0000;28,3533;;;
160916;0000;26,0129;;;
160917;0000;15,7002;;;
160918;0000;14,7087;;;
160919;0000;18,6642;;;
160920;0000;9,74342;;;
160921;0000;9,54529;;;
160922;0000;6,12729;;;
160923;0000;18,6225;;;
160924;0000;17,6129;;;
160925;0000;31,1067;;;
160926;0000;21,1913;;;
160927;0000;14,0705;;;
160928;0000;12,7347;;;
160929;0000;9,616;;;
160930;0000;6,48021;;;
161001;0000;11,8859;;;
161002;0000;12,1712;;;
161003;0000;;;;
161004;0000;5,93839;;;
161005;0000;5,44441;;;
161006;0000;5,78562;;;
161007;0000;12,295;;;
161008;0000;14,6109;;;
161009;0000;9,6022;;;
161010;0000;9,9863;;;
161011;0000;14,723;;;
161012;0000;11,3898;;;
161013;0000;9,29021;;;
161014;0000;19,9787;;;
161015;0000;8,63029;;;
161016;0000;15,6712;;;
161017;0000;14,6489;;;
161018;0000;23,1488;;;
161019;0000;13,4838;;;
161020;0000;11,128;;;
161021;0000;10,6745;;;
161022;0000;13,8086;;;
161023;0000;12,9436;;;
161024;0000;9,42421;;;
161025;0000;6,38771;;;
161026;0000;5,42158;;;
161027;0000;7,62137;;;
161028;0000;10,745;;;
161029;0000;8,06168;;;
161030;0000;4,33829;;;
161031;0000;6,06092;;;
161101;0000;7,012;;;
161102;0000;4,54042;;;
161103;0000;5,07743;;;
161104;0000;3,73067;;;
161105;0000;5,24883;;;
161106;0000;3,07704;;;
161107;0000;5,19496;;;
161108;0000;4,7245;;;
161109;0000;3,8595;;;
161110;0000;3,49046;;;
161111;0000;5,61633;;;
161112;0000;7,68642;;;
161113;0000;6,26854;;;
161114;0000;5,02262;;;
161115;0000;3,35912;;;
161116;0000;4,24379;;;
161117;0000;4,69704;;;
161118;0000;8,13229;;;
161119;0000;9,49529;;;
161120;0000;7,42337;;;
161121;0000;9,04129;;;
161122;0000;7,47933;;;
161123;0000;9,79346;;;
161124;0000;10,2001;;;
161125;0000;8,83183;;;
161126;0000;4,27404;;;
161127;0000;3,60479;;;
161128;0000;3,95196;;;
161129;0000;6,75379;;;
161130;0000;12,0931;;;
161201;0000;12,277;;;
161202;0000;7,15204;;;
161203;0000;10,4895;;;
161204;0000;5,63454;;;
161205;0000;4,81013;;;
161206;0000;3,20154;;;
161207;0000;3,88662;;;
161208;0000;5,507;;;
161209;0000;7,06996;;;
161210;0000;5,5507;;;
161211;0000;3,33146;;;
161212;0000;;;2,57735;
161213;0000;;;1,19229;
161214;0000;;;1,192;
161215;0000;;;50,926;
161216;0000;14,1692;;;
161217;0000;8,26317;;;
161218;0000;2,21896;;;
161219;0000;3,76173;;;
161220;0000;4,74154;;;
161221;0000;2,51971;;;
161222;0000;3,20521;;;
161223;0000;3,66129;;;
161224;0000;5,05088;;;
161225;0000;4,04488;;;
161226;0000;4,21417;;;
161227;0000;3,41896;;;
161228;0000;5,22831;;;
161229;0000;9,51067;;;
161230;0000;6,73904;;;
161231;0000;10,8296;;;
170101;0000;6,48742;;;
170102;0000;6,3596;;;
170103;0000;5,76088;;;
170104;0000;4,82604;;;
170105;0000;6,22346;;;
170106;0000;7,33821;;;
170107;0000;6,74225;;;
170108;0000;5,5215;;;
170109;0000;5,39568;;;
170110;0000;6,12737;;;
170111;0000;7,25546;;;
170112;0000;8,31754;;;
170113;0000;6,21646;;;
170114;0000;5,71484;;;
170115;0000;7,30138;;;
170116;0000;6,42329;;;
170117;0000;5,68525;;;
170118;0000;7,05425;;;
170119;0000;7,01204;;;
170120;0000;7,24329;;;
170121;0000;13,1808;;;
170122;0000;27,4217;;;
170123;0000;35,8371;;;
170124;0000;5,67675;;;
170125;0000;6,17408;;;
170126;0000;163,816;;;
170127;0000;739,35;;;
170128;0000;126,734;;;
170129;0000;38,6776;;;
170130;0000;7,70708;;;
170131;0000;9,92137;;;
170201;0000;23,8136;;;
170202;0000;30,1633;;;
170203;0000;6,3085;;;
170204;0000;5,63308;;;
170205;0000;4,18142;;;
170206;0000;5,39337;;;
170207;0000;6,08937;;;
170208;0000;6,486;;;
170209;0000;3,61274;;;
170210;0000;6,64225;;;
170211;0000;4,72633;;;
