FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;;;;
160102;0000;;;;
160103;0000;;;;
160104;0000;;;;
160105;0000;;;;
160106;0000;;;;
160107;0000;;;;
160108;0000;;;15,0392;
160109;0000;;;14,3933;
160110;0000;;;14,9204;
160111;0000;;;14,0583;
160112;0000;7,32582;;;
160113;0000;8,71086;;;
160114;0000;10,3245;;;
160115;0000;10,9933;;;
160116;0000;11,4613;;;
160117;0000;10,2085;;;
160118;0000;11,2169;;;
160119;0000;12,8251;;;
160120;0000;13,6208;;;
160121;0000;12,7496;;;
160122;0000;17,252;;;
160123;0000;11,9884;;;
160124;0000;5,77207;;;
160125;0000;9,64059;;;
160126;0000;8,77736;;;
160127;0000;8,3692;;;
160128;0000;7,10341;;;
160129;0000;10,1974;;;
160130;0000;11,0643;;;
160131;0000;11,0962;;;
160201;0000;15,2595;;;
160202;0000;13,1116;;;
160203;0000;13,6958;;;
160204;0000;12,3578;;;
160205;0000;10,3341;;;
160206;0000;12,1091;;;
160207;0000;9,76585;;;
160208;0000;13,9904;;;
160209;0000;11,6214;;;
160210;0000;9,50555;;;
160211;0000;11,51;;;
160212;0000;11,2973;;;
160213;0000;7,72145;;;
160214;0000;7,27466;;;
160215;0000;8,30148;;;
160216;0000;8,53365;;;
160217;0000;10,9764;;;
160218;0000;8,25331;;;
160219;0000;11,7434;;;
160220;0000;12,0373;;;
160221;0000;11,5974;;;
160222;0000;12,4587;;;
160223;0000;11,5999;;;
160224;0000;11,6375;;;
160225;0000;15,7133;;;
160226;0000;11,4999;;;
160227;0000;14,5772;;;
160228;0000;11,3311;;;
160229;0000;13,3467;;;
160301;0000;15,3071;;;
160302;0000;19,3721;;;
160303;0000;23,9645;;;
160304;0000;23,3112;;;
160305;0000;20,722;;;
160306;0000;12,6822;;;
160307;0000;11,4064;;;
160308;0000;24,8975;;;
160309;0000;17,4252;;;
160310;0000;18,7737;;;
160311;0000;23,6325;;;
160312;0000;17,0345;;;
160313;0000;19,2121;;;
160314;0000;17,7766;;;
160315;0000;18,8455;;;
160316;0000;18,9637;;;
160317;0000;16,1122;;;
160318;0000;11,369;;;
160319;0000;20,5112;;;
160320;0000;22,7883;;;
160321;0000;23,4225;;;
160322;0000;50,4474;;;
160323;0000;48,8812;;;
160324;0000;52,6656;;;
160325;0000;30,6887;;;
160326;0000;23,0575;;;
160327;0000;24,1996;;;
160328;0000;22,8091;;;
160329;0000;17,2817;;;
160330;0000;14,2334;;;
160331;0000;13,3048;;;
160401;0000;16,5188;;;
160402;0000;19,625;;;
160403;0000;17,1195;;;
160404;0000;16,9661;;;
160405;0000;33,6554;;;
160406;0000;24,5329;;;
160407;0000;15,7782;;;
160408;0000;14,2259;;;
160409;0000;19,8533;;;
160410;0000;29,0699;;;
160411;0000;30,6816;;;
160412;0000;25,3958;;;
160413;0000;31,6537;;;
160414;0000;18,0358;;;
160415;0000;12,2636;;;
160416;0000;11,2447;;;
160417;0000;20,2802;;;
160418;0000;14,8854;;;
160419;0000;21,9814;;;
160420;0000;32,247;;;
160421;0000;19,7391;;;
160422;0000;24,5625;;;
160423;0000;16,0518;;;
160424;0000;14,1951;;;
160425;0000;25,8767;;;
160426;0000;42,1295;;;
160427;0000;61,777;;;
160428;0000;51,0537;;;
160429;0000;49,7345;;;
160430;0000;60,5428;;;
160501;0000;57,4395;;;
160502;0000;46,6967;;;
160503;0000;27,8958;;;
160504;0000;51,6761;;;
160505;0000;33,707;;;
160506;0000;60,682;;;
160507;0000;55,8275;;;
160508;0000;19,2671;;;
160509;0000;41,2029;;;
160510;0000;37,2556;;;
160511;0000;45,167;;;
160512;0000;54,5519;;;
160513;0000;74,6299;;;
160514;0000;48,3229;;;
160515;0000;38,0242;;;
160516;0000;56,2409;;;
160517;0000;62,5145;;;
160518;0000;56,8541;;;
160519;0000;21,9529;;;
160520;0000;27,4929;;;
160521;0000;47,2357;;;
160522;0000;47,8925;;;
160523;0000;63,4024;;;
160524;0000;75,6195;;;
160525;0000;61,7567;;;
160526;0000;32,8433;;;
160527;0000;60,9803;;;
160528;0000;64,1366;;;
160529;0000;;;;
160530;0000;35,3752;;;
160531;0000;49,1198;;;
160601;0000;55,3864;;;
160602;0000;99,1346;;;
160603;0000;52,2936;;;
160604;0000;32,9866;;;
160605;0000;24,36;;;
160606;0000;48,2908;;;
160607;0000;96,0795;;;
160608;0000;58,0141;;;
160609;0000;89,5674;;;
160610;0000;70,4702;;;
160611;0000;79,1307;;;
160612;0000;82,1874;;;
160613;0000;56,4349;;;
160614;0000;31,635;;;
160615;0000;60,2655;;;
160616;0000;91,9312;;;
160617;0000;52,152;;;
160618;0000;51,9583;;;
160619;0000;58,5249;;;
160620;0000;41,1216;;;
160621;0000;32,1224;;;
160622;0000;36,5225;;;
160623;0000;38,1599;;;
160624;0000;39,2949;;;
160625;0000;120,172;;;
160626;0000;113,82;;;
160627;0000;112,407;;;
160628;0000;98,7521;;;
160629;0000;44,9075;;;
160630;0000;31,0962;;;
160701;0000;27,8233;;;
160702;0000;60,3779;;;
160703;0000;71,1613;;;
160704;0000;66,0356;;;
160705;0000;76,8203;;;
160706;0000;32,1;;;
160707;0000;70,3512;;;
160708;0000;81,9125;;;
160709;0000;99,1925;;;
160710;0000;46,035;;;
160711;0000;42,8067;;;
160712;0000;122,433;;;
160713;0000;9,11591;;;
160714;0000;17,3645;;;
160715;0000;56,2253;;;
160716;0000;134,195;;;
160717;0000;63,0783;;;
160718;0000;45,3105;;;
160719;0000;39,7362;;;
160720;0000;41,0087;;;
160721;0000;56,9675;;;
160722;0000;100,143;;;
160723;0000;60,9375;;;
160724;0000;29,5425;;;
160725;0000;28,1893;;;
160726;0000;31,1383;;;
160727;0000;69,3167;;;
160728;0000;98,9917;;;
160729;0000;87,0654;;;
160730;0000;55,6287;;;
160731;0000;85,0629;;;
160801;0000;74,5696;;;
160802;0000;47,4508;;;
160803;0000;61,7226;;;
160804;0000;52,6118;;;
160805;0000;26,9704;;;
160806;0000;29,8835;;;
160807;0000;24,3358;;;
160808;0000;18,8855;;;
160809;0000;47,3154;;;
160810;0000;67,4467;;;
160811;0000;39,5648;;;
160812;0000;58,2179;;;
160813;0000;22,4133;;;
160814;0000;38,7042;;;
160815;0000;34,1579;;;
160816;0000;23,6259;;;
160817;0000;26,489;;;
160818;0000;27,7705;;;
160819;0000;25,6833;;;
160820;0000;27,218;;;
160821;0000;12,998;;;
160822;0000;22,3413;;;
160823;0000;25,8362;;;
160824;0000;44,4783;;;
160825;0000;28,7055;;;
160826;0000;20,0502;;;
160827;0000;21,7232;;;
160828;0000;31,9608;;;
160829;0000;50,7637;;;
160830;0000;38,5975;;;
160831;0000;12,817;;;
160901;0000;24,3466;;;
160902;0000;36,5118;;;
160903;0000;66,1857;;;
160904;0000;33,8198;;;
160905;0000;40,6408;;;
160906;0000;37,6233;;;
160907;0000;41,0117;;;
160908;0000;53,5162;;;
160909;0000;19,0954;;;
160910;0000;18,2925;;;
160911;0000;15,513;;;
160912;0000;17,8387;;;
160913;0000;11,7108;;;
160914;0000;18,1244;;;
160915;0000;27,7549;;;
160916;0000;40,8658;;;
160917;0000;17,3204;;;
160918;0000;29,01;;;
160919;0000;21,0467;;;
160920;0000;17,015;;;
160921;0000;17,7533;;;
160922;0000;16,9088;;;
160923;0000;16,7047;;;
160924;0000;18,355;;;
160925;0000;13,0669;;;
160926;0000;26,5392;;;
160927;0000;22,48;;;
160928;0000;15,8104;;;
160929;0000;10,3163;;;
160930;0000;12,6008;;;
161001;0000;12,5975;;;
161002;0000;13,8673;;;
161003;0000;11,0643;;;
161004;0000;7,79858;;;
161005;0000;10,5762;;;
161006;0000;12,1442;;;
161007;0000;11,9903;;;
161008;0000;13,7885;;;
161009;0000;11,9342;;;
161010;0000;10,8158;;;
161011;0000;9,17896;;;
161012;0000;17,4417;;;
161013;0000;13,0876;;;
161014;0000;15,83;;;
161015;0000;9,66583;;;
161016;0000;5,99179;;;
161017;0000;7,78544;;;
161018;0000;7,16971;;;
161019;0000;14,5032;;;
161020;0000;17,4842;;;
161021;0000;7,71167;;;
161022;0000;11,9395;;;
161023;0000;7,42421;;;
161024;0000;5,17779;;;
161025;0000;9,90945;;;
161026;0000;12,8983;;;
161027;0000;9,10696;;;
161028;0000;12,6842;;;
161029;0000;14,7997;;;
161030;0000;8,28679;;;
161031;0000;5,81971;;;
161101;0000;3,86333;;;
161102;0000;6,96529;;;
161103;0000;6,24379;;;
161104;0000;9,65483;;;
161105;0000;8,24641;;;
161106;0000;7,17604;;;
161107;0000;14,1693;;;
161108;0000;8,91309;;;
161109;0000;7,46521;;;
161110;0000;6,97517;;;
161111;0000;9,08299;;;
161112;0000;13,7196;;;
161113;0000;8,66983;;;
161114;0000;7,05442;;;
161115;0000;5,71629;;;
161116;0000;8,10834;;;
161117;0000;10,3046;;;
161118;0000;14,9139;;;
161119;0000;16,0267;;;
161120;0000;9,3132;;;
161121;0000;8,13184;;;
161122;0000;7,86279;;;
161123;0000;8,80391;;;
161124;0000;9,10266;;;
161125;0000;6,75462;;;
161126;0000;4,45734;;;
161127;0000;5,39425;;;
161128;0000;9,41376;;;
161129;0000;12,6482;;;
161130;0000;20,8971;;;
161201;0000;17,4721;;;
161202;0000;12,1303;;;
161203;0000;12,0254;;;
161204;0000;6,77071;;;
161205;0000;4,92135;;;
161206;0000;8,314;;;
161207;0000;7,28325;;;
161208;0000;11,714;;;
161209;0000;9,364;;;
161210;0000;8,19708;;;
161211;0000;5,48608;;;
161212;0000;6,01138;;;
161213;0000;8,45354;;;
161214;0000;12,5063;;;
161215;0000;37,0096;;;
161216;0000;28,0555;;;
161217;0000;15,9507;;;
161218;0000;9,14626;;;
161219;0000;8,55925;;;
161220;0000;6,78125;;;
161221;0000;6,38342;;;
161222;0000;7,41258;;;
161223;0000;6,74017;;;
161224;0000;7,33109;;;
161225;0000;5,56358;;;
161226;0000;3,87667;;;
161227;0000;8,267;;;
161228;0000;10,2222;;;
161229;0000;10,5334;;;
161230;0000;11,0734;;;
161231;0000;10,9693;;;
170101;0000;7,2325;;;
170102;0000;7,29437;;;
170103;0000;5,73861;;;
170104;0000;8,02824;;;
170105;0000;7,86655;;;
170106;0000;10,0887;;;
170107;0000;7,41575;;;
170108;0000;5,02233;;;
170109;0000;4,63521;;;
170110;0000;6,52534;;;
170111;0000;9,4232;;;
170112;0000;10,9643;;;
170113;0000;8,56396;;;
170114;0000;7,96738;;;
170115;0000;11,9573;;;
170116;0000;13,0826;;;
170117;0000;;;8,13574;
170118;0000;;;1,95583;
170119;0000;;;2,59375;
170120;0000;;;5,083;
170121;0000;13,8041;;;
170122;0000;72,0148;;;
170123;0000;79,3209;;;
170124;0000;18,6716;;;
170125;0000;13,5163;;;
170126;0000;50,3221;;;
170127;0000;74,2029;;;
170128;0000;142,35;;;
170129;0000;99,5905;;;
170130;0000;28,5508;;;
170131;0000;25,5267;;;
170201;0000;33,6779;;;
170202;0000;19,0512;;;
170203;0000;10,8424;;;
170204;0000;10,7239;;;
170205;0000;10,2098;;;
170206;0000;10,9327;;;
170207;0000;13,5133;;;
170208;0000;11,5426;;;
170209;0000;10,9727;;;
170210;0000;13,2233;;;
170211;0000;13,9502;;;
170212;0000;11,9553;;;
170213;0000;14,049;;;
170214;0000;16,4446;;;
170215;0000;16,3717;;;
170216;0000;11,1261;;;
170217;0000;9,56445;;;
170218;0000;10,4034;;;
170219;0000;7,73908;;;
170220;0000;10,243;;;
170221;0000;9,49908;;;
170222;0000;18,6362;;;
170223;0000;11,8949;;;
170224;0000;18,5388;;;
170225;0000;12,7637;;;
170226;0000;9,66078;;;
170227;0000;9,74962;;;
170228;0000;10,0318;;;
170301;0000;10,33;;;
170302;0000;12,2701;;;
170303;0000;9,51962;;;
170304;0000;12,0567;;;
170305;0000;9,82567;;;
170306;0000;10,4757;;;
170307;0000;16,1574;;;
170308;0000;18,1729;;;
170309;0000;13,9538;;;
170310;0000;9,98691;;;
170311;0000;9,82358;;;
170312;0000;10,3244;;;
170313;0000;13,0429;;;
170314;0000;14,1378;;;
170315;0000;12,2844;;;
170316;0000;34,6683;;;
170317;0000;19,2839;;;
170318;0000;17,8842;;;
170319;0000;33,4604;;;
170320;0000;14,6147;;;
170321;0000;15,5396;;;
170322;0000;17,574;;;
170323;0000;10,604;;;
170324;0000;7,62434;;;
170325;0000;8,27704;;;
170326;0000;6,69371;;;
170327;0000;9,72412;;;
170328;0000;10,4909;;;
170329;0000;9,50096;;;
170330;0000;10,4335;;;
170331;0000;11,7696;;;
170401;0000;13,1554;;;
170402;0000;8,52658;;;
170403;0000;9,21922;;;
170404;0000;10,9813;;;
170405;0000;14,9848;;;
170406;0000;15,164;;;
170407;0000;4,22475;;;
170408;0000;8,98108;;;
170409;0000;12,0712;;;
170410;0000;17,0535;;;
170411;0000;13,863;;;
170412;0000;15,0587;;;
170413;0000;15,2767;;;
170414;0000;16,9754;;;
170415;0000;15,5496;;;
170416;0000;24,4242;;;
170417;0000;24,899;;;
170418;0000;14,3242;;;
170419;0000;17,6769;;;
170420;0000;7,84771;;;
170421;0000;10,3643;;;
170422;0000;10,8312;;;
170423;0000;22,3979;;;
170424;0000;33,26;;;
170425;0000;18,5331;;;
170426;0000;13,672;;;
170427;0000;30,9739;;;
170428;0000;20,8442;;;
170429;0000;46,4487;;;
170430;0000;45,7729;;;
170501;0000;29;;;
170502;0000;21;;;
170503;0000;31;;;
170504;0000;46;;;
170505;0000;37;;;
170506;0000;28;;;
170507;0000;11;;;
170508;0000;11;;;
170509;0000;31;;;
170510;0000;30;;;
170511;0000;10;;;
170512;0000;26;;;
170513;0000;12;;;
170514;0000;8;;;
170515;0000;19;;;
170516;0000;46;;;
170517;0000;25;;;
170518;0000;29;;;
170519;0000;59;;;
170520;0000;36;;;
170521;0000;57;;;
170522;0000;25;;;
170523;0000;48;;;
170524;0000;39;;;
170525;0000;44;;;
170526;0000;48;;;
170527;0000;110;;;
170528;0000;76;;;
170529;0000;61;;;
170530;0000;101;;;
170531;0000;76;;;
170601;0000;80;;;
170602;0000;54;;;
170603;0000;59;;;
170604;0000;48;;;
170605;0000;50;;;
170606;0000;74;;;
170607;0000;69;;;
170608;0000;37;;;
170609;0000;70;;;
170610;0000;50;;;
170611;0000;26;;;
170612;0000;42;;;
170613;0000;77;;;
170614;0000;61;;;
170615;0000;25;;;
170616;0000;9;;;
170617;0000;15;;;
170618;0000;23;;;
170619;0000;38;;;
170620;0000;84;;;
170621;0000;27;;;
170622;0000;19;;;
170623;0000;30;;;
170624;0000;43;;;
170625;0000;18;;;
170626;0000;43;;;
170627;0000;37;;;
170628;0000;16;;;
170629;0000;48;;;
170630;0000;65;;;
170701;0000;70;;;
170702;0000;49;;;
170703;0000;37;;;
170704;0000;42;;;
170705;0000;60;;;
170706;0000;80;;;
170707;0000;42;;;
170708;0000;91;;;
170709;0000;84;;;
170710;0000;40;;;
170711;0000;90;;;
170712;0000;35;;;
170713;0000;27;;;
170714;0000;43;;;
170715;0000;40;;;
170716;0000;23;;;
170717;0000;69;;;
170718;0000;91;;;
170719;0000;73;;;
170720;0000;57;;;
170721;0000;41;;;
170722;0000;43;;;
170723;0000;30;;;
170724;0000;42;;;
170725;0000;37;;;
170726;0000;60;;;
170727;0000;83;;;
170728;0000;67;;;
170729;0000;26;;;
170730;0000;110;;;
170731;0000;73;;;
170801;0000;109;;;
170802;0000;89;;;
170803;0000;80;;;
170804;0000;94;;;
170805;0000;54;;;
170806;0000;56;;;
170807;0000;49;;;
