FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;9,32382;;;
160102;0000;5,0107;;;
160103;0000;7,35378;;;
160104;0000;7,28362;;;
160105;0000;9,53136;;;
160106;0000;14,5054;;;
160107;0000;14,4162;;;
160108;0000;10,7126;;;
160109;0000;6,10686;;;
160110;0000;6,66682;;;
160111;0000;7,60903;;;
160112;0000;4,78036;;;
160113;0000;7,37804;;;
160114;0000;8,00591;;;
160115;0000;5,5712;;;
160116;0000;8,49115;;;
160117;0000;5,32299;;;
160118;0000;6,08849;;;
160119;0000;11,4343;;;
160120;0000;12,3857;;;
160121;0000;13,0978;;;
160122;0000;12,2927;;;
160123;0000;11,6561;;;
160124;0000;4,99911;;;
160125;0000;6,92166;;;
160126;0000;;;;
160127;0000;6,1223;;;
160128;0000;5,75237;;;
160129;0000;7,14207;;;
160130;0000;11,6486;;;
160131;0000;12,4815;;;
160201;0000;15,1058;;;
160202;0000;11,9784;;;
160203;0000;11,1214;;;
160204;0000;11,2969;;;
160205;0000;12,2866;;;
160206;0000;9,73778;;;
160207;0000;12,3115;;;
160208;0000;11,3023;;;
160209;0000;11,6216;;;
160210;0000;13,1507;;;
160211;0000;9,41708;;;
160212;0000;9,0789;;;
160213;0000;5,75429;;;
160214;0000;5,91007;;;
160215;0000;10,5327;;;
160216;0000;12,9888;;;
160217;0000;6,42707;;;
160218;0000;7,37982;;;
160219;0000;8,56412;;;
160220;0000;11,3974;;;
160221;0000;8,26007;;;
160222;0000;9,41399;;;
160223;0000;9,92757;;;
160224;0000;8,96252;;;
160225;0000;8,1328;;;
160226;0000;6,31591;;;
160227;0000;11,4269;;;
160228;0000;7,18482;;;
160229;0000;12,7783;;;
160301;0000;15,4973;;;
160302;0000;18,0358;;;
160303;0000;28,2862;;;
160304;0000;19,9373;;;
160305;0000;22,4966;;;
160306;0000;11,5319;;;
160307;0000;14,7696;;;
160308;0000;25,1139;;;
160309;0000;15,6786;;;
160310;0000;18,2579;;;
160311;0000;19,222;;;
160312;0000;17,2162;;;
160313;0000;15,5679;;;
160314;0000;18,8275;;;
160315;0000;16,4289;;;
160316;0000;20,4991;;;
160317;0000;11,0384;;;
