FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;9,43295;;;
160102;0000;2,49896;;;
160103;0000;5,03316;;;
160104;0000;6,7765;;;
160105;0000;12,1022;;;
160106;0000;16,804;;;
160107;0000;19,9967;;;
160108;0000;11,925;;;
160109;0000;13,1628;;;
160110;0000;9,34666;;;
160111;0000;13,6976;;;
160112;0000;7,56654;;;
160113;0000;8,8952;;;
160114;0000;8,67679;;;
160115;0000;9,65604;;;
160116;0000;5,27154;;;
160117;0000;5,14625;;;
160118;0000;6,26675;;;
160119;0000;6,35474;;;
160120;0000;8,97478;;;
160121;0000;17,0281;;;
160122;0000;5,26849;;;
160123;0000;10,4988;;;
160124;0000;6,54262;;;
160125;0000;4,96295;;;
160126;0000;8,76471;;;
160127;0000;4,83157;;;
160128;0000;3,93466;;;
160129;0000;5,53442;;;
160130;0000;6,35091;;;
160131;0000;7,68217;;;
160201;0000;11,6144;;;
160202;0000;8,25925;;;
160203;0000;6,22691;;;
160204;0000;3,76663;;;
160205;0000;7,15749;;;
160206;0000;7,54213;;;
160207;0000;8,66762;;;
160208;0000;7,38358;;;
160209;0000;6,37975;;;
160210;0000;12,4798;;;
160211;0000;11,8733;;;
160212;0000;6,67783;;;
160213;0000;7,44029;;;
160214;0000;3,73737;;;
160215;0000;4,85329;;;
160216;0000;5,94337;;;
160217;0000;3,344;;;
160218;0000;6,7347;;;
160219;0000;4,75729;;;
160220;0000;6,77746;;;
160221;0000;3,27304;;;
160222;0000;4,00754;;;
160223;0000;5,05416;;;
160224;0000;3,88266;;;
160225;0000;5,20875;;;
160226;0000;7,17266;;;
160227;0000;9,44624;;;
160228;0000;5,47491;;;
160229;0000;13,3135;;;
160301;0000;17,4533;;;
160302;0000;17,7183;;;
160303;0000;25,8083;;;
160304;0000;14,4137;;;
160305;0000;17,7902;;;
160306;0000;21,8083;;;
160307;0000;13,8135;;;
160308;0000;13,7935;;;
160309;0000;7,23617;;;
160310;0000;9,91129;;;
160311;0000;9,31775;;;
160312;0000;15,3752;;;
160313;0000;15,3751;;;
160314;0000;13,4683;;;
160315;0000;9,41766;;;
160316;0000;10,7453;;;
160317;0000;8,07695;;;
160318;0000;6,76096;;;
160319;0000;7,34083;;;
160320;0000;10,1807;;;
160321;0000;24,201;;;
160322;0000;12,2272;;;
160323;0000;20,6712;;;
160324;0000;19,5831;;;
160325;0000;26,59;;;
160326;0000;20,0371;;;
160327;0000;18,1016;;;
160328;0000;22,8618;;;
160329;0000;22;;;
160330;0000;6,97513;;;
160331;0000;4,6032;;;
160401;0000;10,6753;;;
160402;0000;19,3597;;;
160403;0000;15,6461;;;
160404;0000;22,7641;;;
160405;0000;24,5446;;;
160406;0000;13,615;;;
160407;0000;12,4953;;;
160408;0000;17,1938;;;
160409;0000;26,6983;;;
160410;0000;35,5979;;;
160411;0000;42,2058;;;
160412;0000;33,0954;;;
160413;0000;22,1578;;;
160414;0000;6,10001;;;
160415;0000;13,6106;;;
160416;0000;27,2946;;;
160417;0000;23,9905;;;
160418;0000;46,325;;;
160419;0000;27,8486;;;
160420;0000;24,0726;;;
160421;0000;43,6761;;;
160422;0000;28,4403;;;
160423;0000;13,1412;;;
160424;0000;82,6997;;;
160425;0000;44,5575;;;
160426;0000;79,975;;;
160427;0000;190,501;;;
160428;0000;134,372;;;
160429;0000;185,272;;;
160430;0000;119,535;;;
160501;0000;115,755;;;
160502;0000;79,8639;;;
160503;0000;50,2332;;;
160504;0000;73,6862;;;
160505;0000;117,065;;;
160506;0000;141,152;;;
160507;0000;104,516;;;
160508;0000;79,8726;;;
160509;0000;85,4396;;;
160510;0000;93,7175;;;
160511;0000;53,9983;;;
160512;0000;61,6878;;;
160513;0000;73,7612;;;
160514;0000;52,4087;;;
160515;0000;47,9837;;;
160516;0000;174,585;;;
160517;0000;118,061;;;
160518;0000;50,5546;;;
160519;0000;30,5489;;;
160520;0000;92,1274;;;
160521;0000;109,507;;;
160522;0000;78,3766;;;
160523;0000;120,501;;;
160524;0000;47,2433;;;
160525;0000;19,1887;;;
160526;0000;88,005;;;
160527;0000;88,557;;;
160528;0000;41,2592;;;
160529;0000;54,3625;;;
160530;0000;58,0621;;;
160531;0000;61,6038;;;
160601;0000;32,4683;;;
160602;0000;168,945;;;
160603;0000;61,6116;;;
160604;0000;45,1275;;;
160605;0000;100,163;;;
160606;0000;79,2462;;;
160607;0000;43,1066;;;
160608;0000;87,8845;;;
160609;0000;98,2987;;;
160610;0000;61,1021;;;
160611;0000;133,23;;;
160612;0000;96,5029;;;
160613;0000;125,629;;;
160614;0000;147,974;;;
160615;0000;48,37;;;
160616;0000;27,6975;;;
160617;0000;23,5575;;;
160618;0000;31,3329;;;
160619;0000;56,1092;;;
160620;0000;43,6191;;;
160621;0000;161,523;;;
160622;0000;73,5175;;;
160623;0000;38,6862;;;
160624;0000;25,2155;;;
160625;0000;67,8478;;;
160626;0000;246,761;;;
160627;0000;280,661;;;
160628;0000;199,883;;;
160629;0000;46,2087;;;
160630;0000;37,476;;;
160701;0000;143,596;;;
160702;0000;49,2916;;;
160703;0000;55,7429;;;
160704;0000;59,8488;;;
160705;0000;61,5279;;;
160706;0000;191,005;;;
160707;0000;133,729;;;
160708;0000;47,8792;;;
160709;0000;30,9138;;;
160710;0000;17,9532;;;
160711;0000;17,3016;;;
160712;0000;38,9037;;;
160713;0000;;;;
160714;0000;61,3466;;;
160715;0000;162,958;;;
160716;0000;112,862;;;
160717;0000;55,3804;;;
160718;0000;53,8849;;;
160719;0000;50,4137;;;
160720;0000;23,7479;;;
160721;0000;45,5695;;;
160722;0000;17,855;;;
160723;0000;40,1892;;;
160724;0000;16,9015;;;
160725;0000;35,9529;;;
160726;0000;69,255;;;
160727;0000;56,0729;;;
160728;0000;46,847;;;
160729;0000;50,7812;;;
160730;0000;43,4487;;;
160731;0000;56,3566;;;
160801;0000;28,2775;;;
160802;0000;94,7496;;;
160803;0000;33,3404;;;
160804;0000;59,3025;;;
160805;0000;77,3727;;;
160806;0000;37,5197;;;
160807;0000;42,4629;;;
160808;0000;43,869;;;
160809;0000;26,4579;;;
160810;0000;40,4462;;;
160811;0000;111,78;;;
160812;0000;101,062;;;
160813;0000;47,5236;;;
160814;0000;17,6517;;;
160815;0000;11,7819;;;
160816;0000;14,4118;;;
160817;0000;15,7906;;;
160818;0000;24,1741;;;
160819;0000;20,3044;;;
160820;0000;24,3281;;;
160821;0000;22,3969;;;
160822;0000;21,1662;;;
160823;0000;36,9147;;;
160824;0000;23,5208;;;
160825;0000;27,0687;;;
160826;0000;33,3452;;;
160827;0000;41,8338;;;
160828;0000;172,191;;;
160829;0000;49,1885;;;
160830;0000;18,2577;;;
160831;0000;26,5758;;;
160901;0000;21,065;;;
160902;0000;42,8228;;;
160903;0000;38,8032;;;
160904;0000;19,2608;;;
160905;0000;120,31;;;
160906;0000;55,7516;;;
160907;0000;42,0186;;;
160908;0000;25,1658;;;
160909;0000;18,7676;;;
160910;0000;20,781;;;
160911;0000;11,6543;;;
160912;0000;8,15359;;;
160913;0000;13,2452;;;
160914;0000;25,9707;;;
160915;0000;31,3308;;;
160916;0000;24,26;;;
160917;0000;14,0238;;;
160918;0000;14,0924;;;
160919;0000;13,3023;;;
160920;0000;10,3215;;;
160921;0000;14,6042;;;
160922;0000;18,0029;;;
160923;0000;23,813;;;
160924;0000;27,3975;;;
160925;0000;19,3371;;;
160926;0000;23,085;;;
160927;0000;14,7569;;;
160928;0000;15,2199;;;
160929;0000;10,611;;;
160930;0000;7,10538;;;
161001;0000;21,5917;;;
161002;0000;30,1825;;;
161003;0000;24,8525;;;
161004;0000;11,4262;;;
161005;0000;6,66063;;;
161006;0000;7,71679;;;
161007;0000;13,3688;;;
161008;0000;12,5118;;;
161009;0000;8,05453;;;
161010;0000;6,09625;;;
161011;0000;11,3874;;;
