FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;3,84162;;;
160102;0000;2,85587;;;
160103;0000;2,76041;;;
160104;0000;3,7845;;;
160105;0000;3,75849;;;
160106;0000;;;2,78052;
160107;0000;;;1,52492;
160108;0000;;;1,54575;
160109;0000;;;1,374;
160110;0000;;;1,40175;
160111;0000;;;1,43125;
160112;0000;;;13,4655;
160113;0000;2,09354;;;
160114;0000;4,59274;;;
160115;0000;5,16953;;;
160116;0000;4,50074;;;
160117;0000;4,23799;;;
160118;0000;;;;
160119;0000;;;;
160120;0000;4,15457;;;
160121;0000;3,95149;;;
160122;0000;1,7595;;;
160123;0000;2,97749;;;
160124;0000;3,27658;;;
160125;0000;;;;
160126;0000;;;;
160127;0000;1,76221;;;
160128;0000;2,06441;;;
160129;0000;2,974;;;
160130;0000;1,28558;;;
160131;0000;2,37462;;;
160201;0000;4,59295;;;
160202;0000;2,63737;;;
160203;0000;3,32786;;;
160204;0000;2,046;;;
160205;0000;3,70608;;;
160206;0000;3,17229;;;
160207;0000;3,68533;;;
160208;0000;2,72596;;;
160209;0000;1,89412;;;
160210;0000;2,47591;;;
160211;0000;6,65049;;;
160212;0000;3,07754;;;
160213;0000;3,43016;;;
160214;0000;1,63837;;;
160215;0000;1,72637;;;
160216;0000;1,79713;;;
160217;0000;6,83012;;;
160218;0000;3,89899;;;
160219;0000;2,96287;;;
160220;0000;4,09345;;;
160221;0000;1,476;;;
160222;0000;2,56583;;;
160223;0000;2,80866;;;
160224;0000;2,61933;;;
160225;0000;3,29921;;;
160226;0000;7,72208;;;
160227;0000;5,99445;;;
160228;0000;3,80758;;;
160229;0000;5,28053;;;
160301;0000;4,48545;;;
160302;0000;6,16838;;;
160303;0000;2,55037;;;
160304;0000;3,57512;;;
160305;0000;6,42837;;;
160306;0000;5,21732;;;
160307;0000;4,89695;;;
160308;0000;6,3337;;;
160309;0000;4,3147;;;
160310;0000;5,08613;;;
160311;0000;5,15091;;;
160312;0000;6,61145;;;
160313;0000;5,06395;;;
160314;0000;9,33574;;;
160315;0000;4,30753;;;
160316;0000;8,86703;;;
160317;0000;6,90516;;;
160318;0000;21,4299;;;
160319;0000;3,64495;;;
160320;0000;10,3542;;;
160321;0000;9,07816;;;
160322;0000;8,73807;;;
160323;0000;8,61107;;;
160324;0000;5,94899;;;
160325;0000;6,83804;;;
160326;0000;13,146;;;
160327;0000;6,35537;;;
160328;0000;11,988;;;
160329;0000;13,2917;;;
160330;0000;26,4439;;;
160331;0000;20,4982;;;
160401;0000;31,997;;;
160402;0000;25,178;;;
160403;0000;24,3427;;;
160404;0000;45,3134;;;
160405;0000;29,7141;;;
160406;0000;10,9384;;;
160407;0000;36,5612;;;
160408;0000;28,5377;;;
160409;0000;17,1208;;;
160410;0000;27,9146;;;
160411;0000;13,839;;;
160412;0000;43,6599;;;
160413;0000;14,5736;;;
160414;0000;5,27962;;;
160415;0000;10,8103;;;
160416;0000;16,1204;;;
160417;0000;33,2241;;;
160418;0000;87,2262;;;
160419;0000;15,6949;;;
160420;0000;20,4305;;;
160421;0000;103,183;;;
160422;0000;36,8291;;;
160423;0000;42,9862;;;
160424;0000;70,6488;;;
160425;0000;92,5591;;;
160426;0000;61,4615;;;
160427;0000;183,729;;;
160428;0000;170,521;;;
160429;0000;147,4;;;
160430;0000;162,139;;;
160501;0000;88,6161;;;
160502;0000;108,724;;;
160503;0000;91,8687;;;
160504;0000;;;;
160505;0000;;;;
160506;0000;55,6884;;;
160507;0000;98,5354;;;
160508;0000;50,1566;;;
160509;0000;116,028;;;
160510;0000;127,526;;;
160511;0000;112,187;;;
160512;0000;97,3291;;;
160513;0000;131,517;;;
160514;0000;84,1907;;;
160515;0000;63,3104;;;
160516;0000;185,223;;;
160517;0000;207,933;;;
160518;0000;139,405;;;
160519;0000;63,2274;;;
160520;0000;74,5778;;;
160521;0000;220,369;;;
160522;0000;256,802;;;
160523;0000;307,39;;;
160524;0000;145,374;;;
160525;0000;40,7517;;;
160526;0000;91,0175;;;
160527;0000;189,804;;;
160528;0000;164,015;;;
160529;0000;31,9486;;;
160530;0000;37,3196;;;
160531;0000;65,8379;;;
160601;0000;79,7863;;;
160602;0000;34,1396;;;
160603;0000;73,5415;;;
160604;0000;74,5375;;;
160605;0000;61,0267;;;
160606;0000;52,525;;;
160607;0000;41,441;;;
160608;0000;45,8514;;;
160609;0000;44,2914;;;
160610;0000;47,3375;;;
160611;0000;182,882;;;
160612;0000;67,0371;;;
160613;0000;115,14;;;
160614;0000;97,3691;;;
160615;0000;61,5386;;;
160616;0000;143,436;;;
160617;0000;23,8263;;;
160618;0000;24,6313;;;
160619;0000;146,395;;;
160620;0000;49,255;;;
160621;0000;185,139;;;
160622;0000;45,2987;;;
160623;0000;75,3568;;;
160624;0000;87,818;;;
160625;0000;56,4786;;;
160626;0000;83,7474;;;
160627;0000;38,7146;;;
160628;0000;31,7019;;;
160629;0000;57,0669;;;
160630;0000;101,595;;;
160701;0000;137,793;;;
160702;0000;356,297;;;
160703;0000;262,06;;;
160704;0000;274,874;;;
160705;0000;78,7296;;;
160706;0000;23,1465;;;
160707;0000;23,918;;;
160708;0000;16,5539;;;
160709;0000;20,1013;;;
160710;0000;17,1503;;;
