FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;;;;
160102;0000;;;;
160103;0000;;;;
160104;0000;;;;
160105;0000;;;;
160106;0000;;;;
160107;0000;;;;
160108;0000;;;;
160109;0000;;;;
160110;0000;;;;
160111;0000;;;;
160112;0000;;;;
160113;0000;;;;
160114;0000;;;;
160115;0000;;;;
160116;0000;;;;
160117;0000;;;;
160118;0000;;;;
160119;0000;;;;
160120;0000;;;;
160121;0000;;;;
160122;0000;;;;
160123;0000;;;;
160124;0000;;;;
160125;0000;;;;
160126;0000;;;;
160127;0000;;;;
160128;0000;;;;
160129;0000;;;;
160130;0000;;;;
160131;0000;;;;
160201;0000;;;;
160202;0000;;;;
160203;0000;;;;
160204;0000;;;;
160205;0000;;;;
160206;0000;;;;
160207;0000;;;;
160208;0000;;;;
160209;0000;;;;
160210;0000;;;;
160211;0000;;;;
160212;0000;;;;
160213;0000;;;;
160214;0000;;;;
160215;0000;;;;
160216;0000;;;;
160217;0000;9,9108;;;
160218;0000;10,8224;;;
160219;0000;11,2805;;;
160220;0000;9,85228;;;
160221;0000;9,12038;;;
160222;0000;6,92427;;;
160223;0000;6,89417;;;
160224;0000;;10,6332;;
160225;0000;;11,3934;;
160226;0000;14,4034;;;
160227;0000;9,32709;;;
160228;0000;7,04485;;;
160229;0000;5,49858;;;
160301;0000;5,33705;;;
160302;0000;5,75335;;;
160303;0000;4,76005;;;
160304;0000;5,48847;;;
160305;0000;5,29491;;;
160306;0000;5,69141;;;
160307;0000;7,23008;;;
160308;0000;13,9081;;;
160309;0000;6,19413;;;
160310;0000;12,0334;;;
160311;0000;5,61863;;;
160312;0000;10,3835;;;
160313;0000;4,66624;;;
160314;0000;6,00347;;;
160315;0000;3,12534;;;
160316;0000;8,05209;;;
160317;0000;13,8052;;;
160318;0000;10,6835;;;
160319;0000;3,34913;;;
160320;0000;5,46795;;;
160321;0000;7,87617;;;
160322;0000;17,3259;;;
160323;0000;9,59572;;;
160324;0000;6,07392;;;
160325;0000;7,05674;;;
160326;0000;27,9824;;;
160327;0000;12,0993;;;
160328;0000;12,1751;;;
160329;0000;12,2992;;;
160330;0000;29,9806;;;
160331;0000;16,3485;;;
160401;0000;30,3559;;;
160402;0000;6,29837;;;
160403;0000;14,0965;;;
160404;0000;31,2388;;;
160405;0000;36,1369;;;
160406;0000;9,46634;;;
160407;0000;;;;
160408;0000;4,40385;;;
160409;0000;6,79084;;;
160410;0000;9,07172;;;
160411;0000;20,771;;;
160412;0000;48,6411;;;
160413;0000;11,3426;;;
160414;0000;6,99799;;;
160415;0000;14,9124;;;
160416;0000;16,319;;;
160417;0000;25,5514;;;
160418;0000;48,1271;;;
160419;0000;8,39719;;;
160420;0000;25,1797;;;
160421;0000;25,2145;;;
160422;0000;26,3219;;;
160423;0000;24,3185;;;
160424;0000;22,2467;;;
160425;0000;26,9133;;;
160426;0000;30,107;;;
160427;0000;59,8465;;;
160428;0000;125,12;;;
160429;0000;106,538;;;
160430;0000;80,7263;;;
160501;0000;61,5909;;;
160502;0000;39,3765;;;
160503;0000;21,1322;;;
160504;0000;36,8885;;;
160505;0000;112,229;;;
160506;0000;34,8494;;;
160507;0000;55,2783;;;
160508;0000;38,5215;;;
160509;0000;40,3654;;;
160510;0000;;;36,4822;
160511;0000;58,3693;;;
160512;0000;48,5521;;;
160513;0000;51,5096;;;
160514;0000;46,0045;;;
160515;0000;66,9896;;;
160516;0000;55,3044;;;
160517;0000;90,6571;;;
160518;0000;96,6439;;;
160519;0000;51,8024;;;
160520;0000;75,311;;;
160521;0000;121,721;;;
160522;0000;82,8203;;;
160523;0000;80,7998;;;
160524;0000;43,4048;;;
160525;0000;28,2672;;;
160526;0000;15,1626;;;
160527;0000;100,085;;;
160528;0000;30,9641;;;
160529;0000;34,0232;;;
160530;0000;40,7089;;;
160531;0000;38,1785;;;
160601;0000;101,787;;;
160602;0000;44,9918;;;
160603;0000;36,0577;;;
160604;0000;78,2897;;;
160605;0000;31,9056;;;
160606;0000;42,4983;;;
160607;0000;26,1142;;;
160608;0000;34,4869;;;
160609;0000;91,1913;;;
160610;0000;32,6538;;;
160611;0000;16,9944;;;
160612;0000;41,4612;;;
160613;0000;128,965;;;
160614;0000;107,128;;;
160615;0000;24,9417;;;
160616;0000;42,2153;;;
160617;0000;21,9558;;;
160618;0000;8,29817;;;
160619;0000;157,386;;;
160620;0000;35,4457;;;
160621;0000;90,3197;;;
160622;0000;28,4069;;;
160623;0000;29,4114;;;
160624;0000;13,12;;;
160625;0000;6,34218;;;
160626;0000;34,8294;;;
160627;0000;29,9617;;;
160628;0000;25,133;;;
160629;0000;52,6003;;;
160630;0000;17,1092;;;
160701;0000;7,07795;;;
160702;0000;88,4501;;;
160703;0000;48,7743;;;
160704;0000;55,3995;;;
160705;0000;36,9141;;;
160706;0000;10,875;;;
160707;0000;9,71742;;;
160708;0000;8,9604;;;
160709;0000;17,1673;;;
160710;0000;10,0033;;;
160711;0000;11,5624;;;
160712;0000;47,8825;;;
160713;0000;;;61,1277;
160714;0000;60,2632;;;
160715;0000;61,3508;;;
160716;0000;24,114;;;
160717;0000;13,4268;;;
160718;0000;85,1096;;;
160719;0000;61,3311;;;
160720;0000;25,5708;;;
160721;0000;26,7053;;;
160722;0000;20,4944;;;
160723;0000;21,3933;;;
160724;0000;18,4472;;;
160725;0000;99,796;;;
160726;0000;75,2086;;;
160727;0000;27,0178;;;
160728;0000;13,0656;;;
160729;0000;11,7923;;;
160730;0000;15,5223;;;
160731;0000;13,5547;;;
160801;0000;58,9916;;;
160802;0000;43,7674;;;
160803;0000;10,2354;;;
160804;0000;16,7391;;;
160805;0000;22,4484;;;
160806;0000;13,3652;;;
160807;0000;20,8594;;;
160808;0000;21,9057;;;
160809;0000;33,3325;;;
160810;0000;44,4294;;;
160811;0000;45,5898;;;
160812;0000;16,8159;;;
160813;0000;19,7162;;;
160814;0000;17,5843;;;
160815;0000;14,5868;;;
160816;0000;23,1284;;;
160817;0000;20,2273;;;
160818;0000;25,4689;;;
160819;0000;17,6045;;;
160820;0000;65,5536;;;
160821;0000;21,1082;;;
160822;0000;118,154;;;
160823;0000;81,9169;;;
160824;0000;15,8082;;;
160825;0000;22,0204;;;
160826;0000;65,09;;;
160827;0000;62,701;;;
160828;0000;15,9462;;;
160829;0000;8,1955;;;
160830;0000;21,4408;;;
160831;0000;34,813;;;
160901;0000;31,8083;;;
160902;0000;6,30624;;;
160903;0000;39,4573;;;
160904;0000;56,9869;;;
160905;0000;38,9184;;;
160906;0000;22,8139;;;
160907;0000;18,9499;;;
160908;0000;18,6193;;;
160909;0000;38,8144;;;
160910;0000;62,2051;;;
160911;0000;34,8421;;;
160912;0000;11,3709;;;
160913;0000;11,7344;;;
160914;0000;31,5241;;;
160915;0000;14,4089;;;
160916;0000;13,0097;;;
160917;0000;25,1777;;;
160918;0000;44,924;;;
160919;0000;40,3809;;;
160920;0000;31,3974;;;
160921;0000;26,9755;;;
160922;0000;9,49991;;;
160923;0000;9,25273;;;
160924;0000;18,2483;;;
160925;0000;21,7961;;;
160926;0000;21,7435;;;
160927;0000;6,77863;;;
160928;0000;24,46;;;
160929;0000;16,7093;;;
160930;0000;25,0523;;;
161001;0000;25,2377;;;
161002;0000;45,4556;;;
161003;0000;18,9293;;;
161004;0000;42,9699;;;
161005;0000;26,0214;;;
161006;0000;9,02203;;;
161007;0000;21,3991;;;
161008;0000;24,3722;;;
161009;0000;16,6495;;;
161010;0000;30,8599;;;
161011;0000;12,4778;;;
161012;0000;18,5601;;;
161013;0000;30,8;;;
161014;0000;25,8648;;;
161015;0000;10,4996;;;
161016;0000;15,3302;;;
161017;0000;11,0417;;;
161018;0000;28,8432;;;
161019;0000;21,232;;;
161020;0000;11,5128;;;
161021;0000;17,1103;;;
161022;0000;13,3959;;;
161023;0000;10,8804;;;
161024;0000;10,7923;;;
161025;0000;10,7384;;;
161026;0000;6,04707;;;
161027;0000;8,83406;;;
161028;0000;7,92486;;;
161029;0000;9,5096;;;
161030;0000;10,5876;;;
161031;0000;20,2141;;;
161101;0000;20,3801;;;
161102;0000;7,74096;;;
161103;0000;18,5227;;;
161104;0000;12,1395;;;
161105;0000;7,32428;;;
161106;0000;4,31291;;;
161107;0000;4,20061;;;
161108;0000;4,48225;;;
161109;0000;7,36447;;;
161110;0000;7,42312;;;
161111;0000;4,9622;;;
161112;0000;8,09552;;;
161113;0000;12,8792;;;
161114;0000;14,5145;;;
161115;0000;16,2636;;;
161116;0000;6,58783;;;
161117;0000;5,82391;;;
161118;0000;4,89723;;;
161119;0000;4,60978;;;
161120;0000;4,91117;;;
161121;0000;7,83576;;;
161122;0000;10,5614;;;
161123;0000;7,316;;;
161124;0000;8,78535;;;
161125;0000;13,4836;;;
161126;0000;15,8487;;;
161127;0000;9,49156;;;
161128;0000;2,81386;;;
161129;0000;4,41225;;;
161130;0000;;;4,21082;
161201;0000;;;9,23413;
161202;0000;8,27739;;;
161203;0000;8,67705;;;
161204;0000;14,3813;;;
161205;0000;14,0665;;;
161206;0000;7,09524;;;
161207;0000;4,87413;;;
161208;0000;3,80138;;;
161209;0000;7,36971;;;
161210;0000;7,8734;;;
161211;0000;9,02921;;;
161212;0000;9,97743;;;
161213;0000;7,37145;;;
161214;0000;11,7668;;;
161215;0000;6,38109;;;
161216;0000;13,061;;;
161217;0000;9,50806;;;
161218;0000;10,1237;;;
161219;0000;9,87106;;;
161220;0000;16,0518;;;
161221;0000;11,9062;;;
161222;0000;15,0042;;;
161223;0000;12,6581;;;
161224;0000;10,5887;;;
161225;0000;14,2799;;;
161226;0000;7,99983;;;
161227;0000;5,28089;;;
161228;0000;;;1,87844;
161229;0000;;;2,41393;
161230;0000;4,40028;;;
161231;0000;14,1314;;;
170101;0000;10,1699;;;
170102;0000;9,09242;;;
170103;0000;11,7454;;;
170104;0000;10,0945;;;
170105;0000;11,7048;;;
170106;0000;9,59293;;;
170107;0000;8,49617;;;
170108;0000;11,7041;;;
170109;0000;13,2418;;;
170110;0000;14,9932;;;
170111;0000;7,1767;;;
170112;0000;7,78456;;;
170113;0000;3,58587;;;
170114;0000;2,94068;;;
170115;0000;4,60421;;;
170116;0000;11,1307;;;
170117;0000;17,0933;;;
170118;0000;8,5903;;;
170119;0000;7,45746;;;
170120;0000;5,81318;;;
170121;0000;8,91519;;;
170122;0000;5,77276;;;
170123;0000;8,09625;;;
170124;0000;4,98309;;;
170125;0000;3,8432;;;
170126;0000;5,09753;;;
170127;0000;3,7853;;;
170128;0000;4,29093;;;
170129;0000;6,76823;;;
170130;0000;5,50289;;;
170131;0000;3,88272;;;
170201;0000;3,66454;;;
170202;0000;7,13235;;;
170203;0000;7,50167;;;
170204;0000;5,24255;;;
170205;0000;7,81564;;;
170206;0000;5,32957;;;
170207;0000;6,63324;;;
170208;0000;7,67998;;;
170209;0000;8,54402;;;
170210;0000;6,55464;;;
170211;0000;7,25546;;;
170212;0000;4,12464;;;
170213;0000;6,90494;;;
170214;0000;5,29134;;;
170215;0000;6,58591;;;
170216;0000;9,03441;;;
170217;0000;9,4198;;;
170218;0000;14,5923;;;
170219;0000;7,33118;;;
170220;0000;4,40338;;;
170221;0000;5,34485;;;
170222;0000;3,77938;;;
170223;0000;2,62304;;;
170224;0000;3,38777;;;
170225;0000;2,63633;;;
170226;0000;4,96429;;;
170227;0000;9,25458;;;
170228;0000;13,8567;;;
170301;0000;18,2939;;;
170302;0000;14,0709;;;
170303;0000;12,5841;;;
170304;0000;10,6001;;;
170305;0000;11,4711;;;
170306;0000;20,5581;;;
170307;0000;15,2898;;;
170308;0000;9,14177;;;
170309;0000;23,8103;;;
170310;0000;25,8189;;;
170311;0000;30,4164;;;
170312;0000;23,5511;;;
170313;0000;13,7006;;;
170314;0000;10,0583;;;
170315;0000;7,40266;;;
170316;0000;5,40791;;;
170317;0000;42,2132;;;
170318;0000;30,4774;;;
170319;0000;11,1446;;;
170320;0000;11,4574;;;
170321;0000;4,60847;;;
170322;0000;11,6795;;;
170323;0000;5,55244;;;
170324;0000;10,1849;;;
170325;0000;20,2624;;;
170326;0000;8,56921;;;
170327;0000;17,6083;;;
170328;0000;53,0623;;;
170329;0000;31,3702;;;
170330;0000;32,0439;;;
170331;0000;32,5746;;;
170401;0000;33,5924;;;
170402;0000;11,1541;;;
170403;0000;18,2365;;;
170404;0000;27,5666;;;
170405;0000;17,1551;;;
170406;0000;33,1994;;;
170407;0000;26,2199;;;
170408;0000;47,0197;;;
170409;0000;42,1091;;;
170410;0000;17,0032;;;
170411;0000;5,52541;;;
170412;0000;11,0567;;;
170413;0000;36,8442;;;
170414;0000;14,6854;;;
170415;0000;53,9277;;;
170416;0000;55,4913;;;
170417;0000;34,1262;;;
170418;0000;21,4112;;;
170419;0000;18,4165;;;
170420;0000;18,7315;;;
170421;0000;25,6195;;;
170422;0000;44,7957;;;
170423;0000;41,4331;;;
170424;0000;27,867;;;
170425;0000;35,2057;;;
170426;0000;23,4586;;;
170427;0000;22,9139;;;
170428;0000;67,5326;;;
170429;0000;31,2173;;;
170430;0000;12,3518;;;
170501;0000;12;;;
170502;0000;100;;;
170503;0000;13;;;
170504;0000;15;;;
170505;0000;9;;;
170506;0000;12;;;
170507;0000;23;;;
170508;0000;40;;;
170509;0000;35;;;
170510;0000;98;;;
170511;0000;64;;;
170512;0000;21;;;
170513;0000;8;;;
170514;0000;22;;;
170515;0000;11;;;
170516;0000;10;;;
170517;0000;45;;;
170518;0000;96;;;
170519;0000;76;;;
170520;0000;11;;;
170521;0000;29;;;
170522;0000;50;;;
170523;0000;183;;;
170524;0000;165;;;
170525;0000;167;;;
170526;0000;;;137;
170527;0000;120;;;
170528;0000;45;;;
170529;0000;64;;;
170530;0000;40;;;
170531;0000;89;;;
170601;0000;36;;;
170602;0000;24;;;
170603;0000;49;;;
170604;0000;80;;;
170605;0000;32;;;
170606;0000;16;;;
170607;0000;39;;;
170608;0000;30;;;
170609;0000;24;;;
170610;0000;71;;;
170611;0000;63;;;
170612;0000;31;;;
170613;0000;51;;;
170614;0000;22;;;
170615;0000;7;;;
170616;0000;30;;;
170617;0000;145;;;
170618;0000;163;;;
170619;0000;294;;;
170620;0000;18;;;
170621;0000;9;;;
170622;0000;33;;;
170623;0000;101;;;
170624;0000;35;;;
170625;0000;30;;;
170626;0000;17;;;
170627;0000;52;;;
170628;0000;38;;;
170629;0000;63;;;
170630;0000;23;;;
170701;0000;59;;;
170702;0000;28;;;
170703;0000;66;;;
170704;0000;171;;;
170705;0000;49;;;
170706;0000;95;;;
170707;0000;105;;;
170708;0000;36;;;
170709;0000;55;;;
170710;0000;65;;;
170711;0000;218;;;
170712;0000;40;;;
170713;0000;30;;;
170714;0000;36;;;
170715;0000;61;;;
170716;0000;82;;;
170717;0000;165;;;
170718;0000;113;;;
170719;0000;17;;;
170720;0000;35;;;
170721;0000;16;;;
170722;0000;18;;;
170723;0000;22;;;
170724;0000;22;;;
170725;0000;18;;;
170726;0000;9;;;
170727;0000;21;;;
170728;0000;27;;;
170729;0000;23;;;
170730;0000;18;;;
170731;0000;9;;;
170801;0000;43;;;
170802;0000;75;;;
170803;0000;51;;;
170804;0000;36;;;
170805;0000;13;;;
170806;0000;34;;;
170807;0000;25;;;
170808;0000;11;;;
170809;0000;14;;;
170810;0000;25;;;
170811;0000;20;;;
170812;0000;19;;;
170813;0000;34;;;
170814;0000;36;;;
170815;0000;60;;;
170816;0000;29;;;
170817;0000;13;;;
170818;0000;36;;;
170819;0000;51;;;
170820;0000;20;;;
