FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;11,9456;;;
160102;0000;9,20119;;;
160103;0000;8,37953;;;
160104;0000;11,5918;;;
160105;0000;12,5221;;;
160106;0000;15,5662;;;
160107;0000;13,11;;;
160108;0000;8,94536;;;
160109;0000;6,93062;;;
160110;0000;8,35912;;;
160111;0000;9,56229;;;
160112;0000;6,2847;;;
160113;0000;10,6532;;;
160114;0000;20,5512;;;
160115;0000;9,7589;;;
160116;0000;7,48195;;;
160117;0000;9,48315;;;
160118;0000;11,0236;;;
160119;0000;13,7465;;;
160120;0000;15,7704;;;
160121;0000;17,8194;;;
160122;0000;12,4407;;;
160123;0000;13,8878;;;
160124;0000;3,06404;;;
160125;0000;12,0644;;;
160126;0000;13,0192;;;
160127;0000;5,80653;;;
160128;0000;8,65973;;;
160129;0000;;;4,58954;
160130;0000;;;1;
160131;0000;;;1,05354;
160201;0000;;;4,11749;
160202;0000;9,94473;;;
160203;0000;10,2148;;;
160204;0000;12,5411;;;
160205;0000;11,5353;;;
160206;0000;10,9282;;;
160207;0000;8,07919;;;
160208;0000;9,81599;;;
160209;0000;8,80482;;;
160210;0000;12,2251;;;
160211;0000;6,12637;;;
160212;0000;5,97599;;;
160213;0000;3,73583;;;
160214;0000;3,90441;;;
160215;0000;12,0517;;;
160216;0000;12,7029;;;
160217;0000;9,02827;;;
160218;0000;9,26578;;;
160219;0000;7,46032;;;
160220;0000;7,00953;;;
160221;0000;5,67612;;;
160222;0000;7,97095;;;
160223;0000;7,49661;;;
160224;0000;7,09504;;;
160225;0000;5,66424;;;
160226;0000;;;4,09795;
160227;0000;7,68732;;;
160228;0000;7,39116;;;
160229;0000;7,93285;;;
160301;0000;15,4811;;;
160302;0000;11,9572;;;
160303;0000;15,2945;;;
160304;0000;14,5741;;;
160305;0000;12,383;;;
160306;0000;15,8214;;;
160307;0000;12,1931;;;
160308;0000;14,6512;;;
160309;0000;13,38;;;
160310;0000;10,8373;;;
160311;0000;19,0379;;;
160312;0000;23,2371;;;
160313;0000;22,4975;;;
160314;0000;16,5545;;;
160315;0000;14,9534;;;
160316;0000;15,4557;;;
160317;0000;19,7103;;;
160318;0000;16,1429;;;
160319;0000;10,1732;;;
160320;0000;11,4328;;;
160321;0000;15,7401;;;
160322;0000;18,1914;;;
160323;0000;32,1816;;;
160324;0000;33,5412;;;
160325;0000;22,505;;;
160326;0000;22,9812;;;
160327;0000;25,84;;;
160328;0000;23,1575;;;
160329;0000;25,4791;;;
160330;0000;27,6362;;;
160331;0000;13,2916;;;
160401;0000;22,2795;;;
160402;0000;17,127;;;
160403;0000;14,1671;;;
160404;0000;8,53102;;;
160405;0000;15,7452;;;
160406;0000;16,3907;;;
160407;0000;24,1626;;;
160408;0000;15,9401;;;
160409;0000;14,7454;;;
160410;0000;17,4311;;;
160411;0000;18,9959;;;
160412;0000;27,9025;;;
160413;0000;31,8163;;;
160414;0000;18,0263;;;
160415;0000;5,87966;;;
160416;0000;8,45065;;;
160417;0000;1,90254;;;
160418;0000;4,56033;;;
160419;0000;12,0221;;;
160420;0000;20,7385;;;
160421;0000;21,7967;;;
160422;0000;31,1804;;;
160423;0000;7,89099;;;
160424;0000;14,4551;;;
160425;0000;12,8351;;;
160426;0000;19,1924;;;
160427;0000;34,091;;;
160428;0000;57,4178;;;
160429;0000;39,4412;;;
160430;0000;28,3682;;;
160501;0000;35,7892;;;
160502;0000;30,0024;;;
160503;0000;31,9995;;;
160504;0000;34,5695;;;
160505;0000;36,0049;;;
160506;0000;49,1937;;;
160507;0000;33,7878;;;
160508;0000;39,0503;;;
160509;0000;39,7303;;;
160510;0000;66,9161;;;
160511;0000;42,5554;;;
160512;0000;36,1964;;;
160513;0000;81,5703;;;
160514;0000;31,0298;;;
160515;0000;41,1608;;;
160516;0000;25,3048;;;
160517;0000;33,9991;;;
160518;0000;42,952;;;
160519;0000;18,572;;;
160520;0000;27,971;;;
160521;0000;18,5757;;;
160522;0000;44,8698;;;
160523;0000;47,2195;;;
160524;0000;56,6208;;;
160525;0000;37,0579;;;
160526;0000;44,7095;;;
160527;0000;57,8583;;;
160528;0000;72,9103;;;
160529;0000;31,2868;;;
160530;0000;26,0278;;;
160531;0000;38,9373;;;
160601;0000;32,5115;;;
160602;0000;32,2487;;;
