FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;6,02428;;;
160102;0000;4,37112;;;
160103;0000;5,25574;;;
160104;0000;5,36749;;;
160105;0000;6,40112;;;
160106;0000;11,0234;;;
160107;0000;;;7,97312;
160108;0000;;;1,19621;
160109;0000;;;1;
160110;0000;;;1;
160111;0000;;;;
160112;0000;2,00454;;;
160113;0000;4,53333;;;
160114;0000;4,83945;;;
160115;0000;4,78996;;;
160116;0000;5,92249;;;
160117;0000;5,33253;;;
160118;0000;5,83341;;;
160119;0000;8,99919;;;
160120;0000;11,5638;;;
160121;0000;6,29495;;;
160122;0000;9,87643;;;
160123;0000;5,99283;;;
160124;0000;1,20716;;;
160125;0000;4,72653;;;
160126;0000;3,56971;;;
160127;0000;2,29362;;;
160128;0000;3,66641;;;
160129;0000;5,31528;;;
160130;0000;5,95216;;;
160131;0000;11,1603;;;
160201;0000;8,70598;;;
160202;0000;6,19526;;;
160203;0000;7,20761;;;
160204;0000;8,43494;;;
160205;0000;6,76653;;;
160206;0000;7,94157;;;
160207;0000;6,92357;;;
160208;0000;13,6955;;;
160209;0000;5,04641;;;
160210;0000;5,46795;;;
160211;0000;8,68262;;;
160212;0000;5,80141;;;
160213;0000;6,38358;;;
160214;0000;1,79904;;;
160215;0000;4,59866;;;
160216;0000;4,94003;;;
160217;0000;6,51453;;;
160218;0000;5,37557;;;
160219;0000;5,58466;;;
160220;0000;7,40961;;;
160221;0000;5,73478;;;
160222;0000;8,3678;;;
160223;0000;8,29231;;;
160224;0000;5,08936;;;
160225;0000;4,92708;;;
160226;0000;6,44974;;;
160227;0000;7,09349;;;
160228;0000;5,6647;;;
160229;0000;8,65778;;;
160301;0000;15,8286;;;
160302;0000;19,0322;;;
160303;0000;21,8529;;;
160304;0000;16,7449;;;
160305;0000;22,4075;;;
160306;0000;7,04457;;;
160307;0000;7,09095;;;
160308;0000;21,962;;;
160309;0000;14,5931;;;
160310;0000;18,9348;;;
160311;0000;23,6;;;
160312;0000;12,5504;;;
160313;0000;14,6821;;;
160314;0000;16,8337;;;
160315;0000;15,9745;;;
160316;0000;17,2629;;;
160317;0000;8,0144;;;
160318;0000;9,53391;;;
160319;0000;22,8675;;;
160320;0000;19,9508;;;
160321;0000;19,9858;;;
160322;0000;36,8558;;;
160323;0000;32,0987;;;
160324;0000;37,322;;;
160325;0000;29,6212;;;
160326;0000;17,9833;;;
160327;0000;16,1137;;;
160328;0000;17,5708;;;
160329;0000;14,8224;;;
160330;0000;12,1101;;;
160331;0000;6,95963;;;
160401;0000;12,6004;;;
160402;0000;19,2024;;;
160403;0000;15,8589;;;
160404;0000;14,0332;;;
160405;0000;30,786;;;
160406;0000;18,4883;;;
160407;0000;9,14015;;;
160408;0000;11,2748;;;
160409;0000;13,8515;;;
160410;0000;22,785;;;
160411;0000;20,7954;;;
160412;0000;23,9908;;;
160413;0000;16,3091;;;
160414;0000;8,13235;;;
160415;0000;3,99191;;;
160416;0000;8,10445;;;
160417;0000;10,9651;;;
160418;0000;18,5514;;;
160419;0000;12,0426;;;
160420;0000;10,4184;;;
160421;0000;9,99844;;;
160422;0000;17,4032;;;
160423;0000;3,37317;;;
160424;0000;10,2447;;;
160425;0000;14,9737;;;
160426;0000;;;;
160427;0000;33,5487;;;
160428;0000;40,3586;;;
160429;0000;38,2091;;;
160430;0000;46,1316;;;
160501;0000;49,4911;;;
160502;0000;58,1366;;;
160503;0000;26,165;;;
160504;0000;52,4955;;;
160505;0000;25,6062;;;
160506;0000;32,0333;;;
160507;0000;31,504;;;
160508;0000;17,4601;;;
160509;0000;22,4666;;;
160510;0000;31,5439;;;
160511;0000;12,7464;;;
160512;0000;20,5174;;;
160513;0000;46,0807;;;
160514;0000;17,5074;;;
160515;0000;28,3833;;;
160516;0000;32,0558;;;
160517;0000;32,6324;;;
160518;0000;22,2743;;;
160519;0000;24,6174;;;
160520;0000;23,2531;;;
160521;0000;37,9858;;;
160522;0000;30,2593;;;
160523;0000;45,3995;;;
160524;0000;37,3795;;;
160525;0000;24,3045;;;
160526;0000;20,5131;;;
160527;0000;46,4379;;;
160528;0000;34,3991;;;
160529;0000;29,4096;;;
160530;0000;18,1763;;;
160531;0000;33,4551;;;
160601;0000;15,7911;;;
160602;0000;31,1225;;;
160603;0000;28,4517;;;
160604;0000;53,1583;;;
160605;0000;26,6797;;;
160606;0000;46,9862;;;
160607;0000;28,8448;;;
160608;0000;41,5474;;;
160609;0000;33,1033;;;
160610;0000;29,0448;;;
160611;0000;51,2663;;;
160612;0000;75,2146;;;
160613;0000;77,2424;;;
160614;0000;21,4408;;;
160615;0000;33,5925;;;
160616;0000;29,8043;;;
160617;0000;24,095;;;
160618;0000;40,9671;;;
160619;0000;22,1517;;;
160620;0000;29,4079;;;
160621;0000;26,3254;;;
160622;0000;42,7596;;;
160623;0000;33,6246;;;
160624;0000;27,5865;;;
160625;0000;69,2882;;;
160626;0000;144,876;;;
160627;0000;85,7845;;;
160628;0000;102,388;;;
160629;0000;39,8533;;;
160630;0000;14,7444;;;
160701;0000;36,4645;;;
160702;0000;50,8975;;;
160703;0000;60,3121;;;
160704;0000;92,707;;;
160705;0000;64,4512;;;
160706;0000;26,95;;;
160707;0000;50,9579;;;
160708;0000;40,8304;;;
160709;0000;44,287;;;
160710;0000;25,7298;;;
160711;0000;8,53877;;;
160712;0000;45,0563;;;
160713;0000;2,91229;;;
160714;0000;15,3989;;;
160715;0000;26,6714;;;
160716;0000;67,4442;;;
160717;0000;36,4114;;;
160718;0000;47,0529;;;
160719;0000;18,4614;;;
160720;0000;61,1363;;;
160721;0000;80,2117;;;
160722;0000;20,3315;;;
160723;0000;11,6607;;;
160724;0000;8,90607;;;
160725;0000;25,0849;;;
160726;0000;29,6088;;;
160727;0000;52,3108;;;
160728;0000;44,3125;;;
160729;0000;25,6557;;;
160730;0000;47,04;;;
160731;0000;41,263;;;
160801;0000;51,0607;;;
160802;0000;53,4529;;;
160803;0000;60,1729;;;
160804;0000;27,145;;;
160805;0000;33,2228;;;
160806;0000;35,0976;;;
160807;0000;15,4717;;;
160808;0000;16,0603;;;
160809;0000;23,3159;;;
160810;0000;26,1258;;;
160811;0000;36,2277;;;
160812;0000;47,2917;;;
160813;0000;13,2267;;;
160814;0000;14,4624;;;
160815;0000;9,80437;;;
160816;0000;10,8108;;;
160817;0000;14,5312;;;
160818;0000;13,3398;;;
160819;0000;12,8086;;;
160820;0000;21,1194;;;
160821;0000;7,46712;;;
160822;0000;13,9823;;;
160823;0000;16,4125;;;
160824;0000;16,6631;;;
160825;0000;15,051;;;
160826;0000;10,176;;;
160827;0000;30,9283;;;
160828;0000;29,8167;;;
160829;0000;36,8458;;;
160830;0000;25,2479;;;
160831;0000;9,46416;;;
160901;0000;17,8766;;;
160902;0000;21,2875;;;
160903;0000;33,6825;;;
160904;0000;22,165;;;
160905;0000;32,3052;;;
160906;0000;39,8104;;;
160907;0000;39,6404;;;
160908;0000;38,4375;;;
160909;0000;14,1423;;;
160910;0000;12,4408;;;
160911;0000;5,07037;;;
160912;0000;5,22921;;;
160913;0000;7,1022;;;
160914;0000;11,4889;;;
160915;0000;18,2112;;;
160916;0000;16,1433;;;
160917;0000;13,2076;;;
160918;0000;12,4682;;;
160919;0000;11,6012;;;
160920;0000;10,8125;;;
160921;0000;11,627;;;
160922;0000;9,78094;;;
160923;0000;16,2486;;;
160924;0000;15,11;;;
160925;0000;8,64799;;;
160926;0000;19,3925;;;
160927;0000;17,1562;;;
160928;0000;11,2127;;;
160929;0000;5,72575;;;
160930;0000;6,002;;;
161001;0000;9,38541;;;
161002;0000;10,6691;;;
161003;0000;6,42912;;;
161004;0000;3,96188;;;
161005;0000;6,10525;;;
161006;0000;7,44717;;;
161007;0000;9,40926;;;
161008;0000;10,2154;;;
161009;0000;5,55859;;;
161010;0000;6,75142;;;
161011;0000;6,56675;;;
161012;0000;8,59669;;;
161013;0000;5,44962;;;
161014;0000;7,65479;;;
161015;0000;2,38062;;;
161016;0000;2,81452;;;
161017;0000;5,16204;;;
161018;0000;6,82458;;;
161019;0000;12,1798;;;
161020;0000;6,52754;;;
161021;0000;7,25771;;;
161022;0000;5,95834;;;
161023;0000;3,749;;;
161024;0000;3,63521;;;
161025;0000;6,07733;;;
161026;0000;5,85912;;;
161027;0000;5,67233;;;
161028;0000;8,55925;;;
161029;0000;8,60345;;;
161030;0000;3,46771;;;
161031;0000;1,86513;;;
161101;0000;2,24008;;;
161102;0000;3,43804;;;
161103;0000;3,65895;;;
161104;0000;4,14095;;;
161105;0000;3,89621;;;
161106;0000;4,49358;;;
161107;0000;5,813;;;
161108;0000;5,68367;;;
161109;0000;3,35729;;;
161110;0000;4,19012;;;
161111;0000;7,40263;;;
161112;0000;12,2789;;;
161113;0000;5,52292;;;
161114;0000;;;;
161115;0000;;;;
161116;0000;5,24738;;;
161117;0000;7,876;;;
161118;0000;9,8118;;;
161119;0000;9,73772;;;
161120;0000;5,57796;;;
161121;0000;6,456;;;
161122;0000;5,74342;;;
161123;0000;5,4865;;;
161124;0000;7,02821;;;
161125;0000;4,30666;;;
161126;0000;2,28333;;;
161127;0000;2,53062;;;
161128;0000;6,22021;;;
161129;0000;7,13417;;;
161130;0000;8,15875;;;
161201;0000;14,1744;;;
161202;0000;7,97504;;;
161203;0000;7,99587;;;
161204;0000;2,73021;;;
161205;0000;2,81813;;;
161206;0000;3,60371;;;
161207;0000;3,58667;;;
161208;0000;6,56238;;;
161209;0000;4,95821;;;
161210;0000;4,97175;;;
161211;0000;1,858;;;
161212;0000;3,51921;;;
161213;0000;5,80261;;;
161214;0000;12,8971;;;
161215;0000;60,4213;;;
161216;0000;33,7271;;;
161217;0000;10,1323;;;
161218;0000;2,93388;;;
161219;0000;4,80067;;;
161220;0000;3,98796;;;
161221;0000;2,47458;;;
161222;0000;3,98329;;;
161223;0000;3,66516;;;
161224;0000;3,39742;;;
161225;0000;1,64496;;;
161226;0000;2,03871;;;
161227;0000;4,92825;;;
161228;0000;7,05204;;;
161229;0000;7,91946;;;
161230;0000;6,46054;;;
161231;0000;4,89496;;;
170101;0000;2,15738;;;
170102;0000;3,06858;;;
170103;0000;3,51292;;;
170104;0000;5,43584;;;
170105;0000;;;1,43162;
170106;0000;;;1,2115;
170107;0000;;;1,15612;
170108;0000;;;1,27913;
170109;0000;1,56904;;;
170110;0000;3,859;;;
170111;0000;4,10416;;;
170112;0000;4,38075;;;
170113;0000;4,2823;;;
170114;0000;3,55463;;;
170115;0000;5,74313;;;
170116;0000;7,6413;;;
170117;0000;4,27429;;;
170118;0000;6,60905;;;
170119;0000;12,7715;;;
170120;0000;9,05901;;;
170121;0000;;;;
170122;0000;;;;
170123;0000;;;;
170124;0000;;;;
170125;0000;4,99025;;;
170126;0000;157,574;;;
170127;0000;131,363;;;
170128;0000;161,266;;;
170129;0000;75,233;;;
170130;0000;22,3727;;;
170131;0000;14,4431;;;
170201;0000;23,9806;;;
170202;0000;9,68187;;;
170203;0000;5,302;;;
170204;0000;4,43642;;;
170205;0000;3,67671;;;
170206;0000;5,5725;;;
170207;0000;8,67146;;;
170208;0000;6,71891;;;
170209;0000;3,58679;;;
170210;0000;5,64425;;;
170211;0000;8,06479;;;
170212;0000;2,77208;;;
170213;0000;8,09399;;;
170214;0000;10,9565;;;
170215;0000;7,62408;;;
170216;0000;4,49413;;;
170217;0000;2,52179;;;
170218;0000;3,50737;;;
170219;0000;2,36758;;;
170220;0000;2,604;;;
170221;0000;1,68687;;;
170222;0000;6,01138;;;
170223;0000;6,68075;;;
170224;0000;8,95454;;;
170225;0000;7,97375;;;
170226;0000;3,11125;;;
170227;0000;4,14825;;;
170228;0000;3,90759;;;
170301;0000;3,71246;;;
170302;0000;2,68233;;;
170303;0000;2,9985;;;
170304;0000;3,953;;;
170305;0000;1,71437;;;
170306;0000;3,58954;;;
170307;0000;11,587;;;
170308;0000;15,0595;;;
170309;0000;6,70164;;;
170310;0000;2,46896;;;
170311;0000;2,36913;;;
170312;0000;1,36675;;;
170313;0000;3,62142;;;
170314;0000;6,20896;;;
170315;0000;8,22862;;;
170316;0000;37,6691;;;
170317;0000;17,7827;;;
170318;0000;18,5246;;;
170319;0000;22,5325;;;
170320;0000;8,62367;;;
170321;0000;12,9897;;;
170322;0000;13,4288;;;
170323;0000;12,251;;;
170324;0000;5,93069;;;
170325;0000;6,49622;;;
170326;0000;3,80496;;;
170327;0000;9,41862;;;
170328;0000;8,58337;;;
170329;0000;5,78342;;;
170330;0000;6,31529;;;
170331;0000;13,0798;;;
170401;0000;8,32396;;;
170402;0000;4,33759;;;
170403;0000;5,26067;;;
170404;0000;8,04187;;;
170405;0000;8,6907;;;
170406;0000;9,16292;;;
170407;0000;1,84179;;;
170408;0000;8,32692;;;
170409;0000;;;;
170410;0000;9,09363;;;
170411;0000;11,5566;;;
170412;0000;7,89167;;;
170413;0000;9,69778;;;
170414;0000;12,8066;;;
170415;0000;14,3416;;;
170416;0000;20,4704;;;
170417;0000;14,836;;;
170418;0000;14,331;;;
170419;0000;8,73888;;;
170420;0000;3,5205;;;
170421;0000;9,46382;;;
170422;0000;9,00999;;;
170423;0000;16,0014;;;
170424;0000;23,8754;;;
170425;0000;19,1925;;;
170426;0000;12,3607;;;
170427;0000;14,603;;;
170428;0000;12,0792;;;
170429;0000;20,6816;;;
170430;0000;24,7517;;;
170501;0000;17;;;
170502;0000;20;;;
170503;0000;14;;;
170504;0000;28;;;
170505;0000;16;;;
170506;0000;7;;;
170507;0000;2;;;
170508;0000;12;;;
170509;0000;17;;;
