FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;5,18953;;;
160102;0000;2,64574;;;
160103;0000;4,0155;;;
160104;0000;4,64626;;;
160105;0000;5,91195;;;
160106;0000;7,70428;;;
160107;0000;12,0398;;;
160108;0000;11,4266;;;
160109;0000;7,46961;;;
160110;0000;6,15191;;;
160111;0000;4,88547;;;
160112;0000;3,22633;;;
160113;0000;4,46824;;;
160114;0000;4,17483;;;
160115;0000;5,58124;;;
160116;0000;5,37203;;;
160117;0000;2,63983;;;
160118;0000;4,41029;;;
160119;0000;3,95974;;;
160120;0000;5,6152;;;
160121;0000;5,48386;;;
160122;0000;2,20575;;;
160123;0000;6,09274;;;
160124;0000;2,8032;;;
160125;0000;3,38108;;;
160126;0000;7,04299;;;
160127;0000;6,33999;;;
160128;0000;2,39316;;;
160129;0000;3,29333;;;
160130;0000;4,66556;;;
160131;0000;6,2747;;;
160201;0000;7,42536;;;
160202;0000;4,72366;;;
160203;0000;5,80061;;;
160204;0000;4,40437;;;
160205;0000;;;2,61646;
160206;0000;;;1,05737;
160207;0000;;;1,03187;
160208;0000;;;1,76471;
160209;0000;;6,90777;;
160210;0000;12,7112;;;
160211;0000;13,0207;;;
160212;0000;11,624;;;
160213;0000;7,6657;;;
160214;0000;7,99482;;;
160215;0000;6,36541;;;
160216;0000;7,64211;;;
160217;0000;10,2086;;;
160218;0000;10,3181;;;
160219;0000;9,22807;;;
160220;0000;7,75582;;;
160221;0000;7,17744;;;
160222;0000;5,08753;;;
160223;0000;7,93822;;;
160224;0000;8,37178;;;
160225;0000;6,91969;;;
160226;0000;11,4469;;;
160227;0000;12,801;;;
160228;0000;9,28674;;;
160229;0000;13,0719;;;
160301;0000;13,5718;;;
160302;0000;11,9268;;;
160303;0000;8,10178;;;
160304;0000;15,3159;;;
160305;0000;16,8443;;;
160306;0000;13,6774;;;
160307;0000;10,8822;;;
160308;0000;12,3728;;;
160309;0000;8,75345;;;
160310;0000;12,153;;;
160311;0000;12,3886;;;
160312;0000;17,0121;;;
160313;0000;13,9804;;;
160314;0000;12,7675;;;
160315;0000;14,6545;;;
160316;0000;16,2508;;;
160317;0000;19,9973;;;
160318;0000;22,7717;;;
160319;0000;12,1022;;;
160320;0000;15,4711;;;
160321;0000;12,8364;;;
160322;0000;17,2851;;;
160323;0000;12,6914;;;
160324;0000;18,2003;;;
160325;0000;28,358;;;
160326;0000;22,0433;;;
160327;0000;18,8795;;;
160328;0000;21,0054;;;
160329;0000;32,4287;;;
160330;0000;27,0587;;;
160331;0000;14,9424;;;
160401;0000;30,5223;;;
160402;0000;33,4887;;;
160403;0000;29,2007;;;
160404;0000;37,6852;;;
160405;0000;50,2238;;;
160406;0000;32,6862;;;
160407;0000;40,8782;;;
160408;0000;59,7794;;;
160409;0000;61,3907;;;
160410;0000;30,7782;;;
160411;0000;46,1373;;;
160412;0000;50,1758;;;
160413;0000;27,8933;;;
160414;0000;19,8676;;;
160415;0000;20,5164;;;
160416;0000;25,1125;;;
160417;0000;50,113;;;
160418;0000;120,776;;;
160419;0000;41,4991;;;
160420;0000;27,34;;;
160421;0000;87,5505;;;
160422;0000;34,7387;;;
160423;0000;27,8245;;;
160424;0000;98,5806;;;
160425;0000;97,3856;;;
160426;0000;94,3059;;;
160427;0000;113,046;;;
160428;0000;135,081;;;
160429;0000;112,336;;;
160430;0000;138,577;;;
160501;0000;90,6136;;;
160502;0000;71,3795;;;
160503;0000;99,0845;;;
160504;0000;110,43;;;
160505;0000;101,75;;;
160506;0000;135,752;;;
160507;0000;115,915;;;
160508;0000;83,012;;;
160509;0000;151,541;;;
160510;0000;153,818;;;
160511;0000;59,4316;;;
160512;0000;64,0203;;;
160513;0000;116,331;;;
160514;0000;64,6591;;;
160515;0000;60,8218;;;
160516;0000;134,643;;;
160517;0000;158,301;;;
160518;0000;82,7944;;;
160519;0000;86,2692;;;
160520;0000;143,542;;;
160521;0000;138,799;;;
160522;0000;200,229;;;
160523;0000;141,999;;;
160524;0000;66,6779;;;
160525;0000;35,4833;;;
160526;0000;135,166;;;
160527;0000;114,033;;;
160528;0000;86,4545;;;
160529;0000;63,3662;;;
160530;0000;76,475;;;
160531;0000;82,5004;;;
160601;0000;126,402;;;
160602;0000;143,814;;;
160603;0000;47,8391;;;
160604;0000;57,7117;;;
160605;0000;84,7837;;;
160606;0000;66,7417;;;
160607;0000;113,939;;;
160608;0000;66,1409;;;
160609;0000;66,1013;;;
160610;0000;203,946;;;
160611;0000;246,55;;;
160612;0000;149,155;;;
160613;0000;171,483;;;
160614;0000;79,2975;;;
160615;0000;179,805;;;
160616;0000;151,437;;;
160617;0000;134,405;;;
160618;0000;228,58;;;
160619;0000;189,968;;;
160620;0000;103,12;;;
